Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
2294,Dragon Age: Inquisition,18,2014,4,Electronic Arts,0.55,0.28,0,0.07
2295,The Simpsons Game,6,2007,9,Electronic Arts,0.38,0.37,0,0.15
2296,Tiger Woods PGA Tour 2002,7,2002,1,Electronic Arts,0.44,0.35,0,0.12
2298,Mini-Yonku Shining Scorpion: Let's & Go!!,8,1996,3,ASCII Entertainment,0,0,0.9,0
2299,MLB 2005,7,2004,1,Sony Computer Entertainment,0.44,0.35,0,0.12
2300,SOCOM 4: U.S. Navy SEALs,6,2011,7,Sony Computer Entertainment,0.66,0.12,0.04,0.08
2301,Burnout Revenge,7,2005,3,Electronic Arts,0.75,0.03,0,0.12
2302,Buzz! Quiz TV,6,2008,6,Sony Computer Entertainment,0.28,0.48,0,0.14
2303,We Ski & Snowboard,1,2008,1,Atari,0.38,0.29,0.15,0.08
2304,Destruction Derby,13,1995,3,Psygnosis,0.5,0.34,0,0.06
2305,TouchMaster 2,4,2008,5,Midway Games,0.3,0.49,0,0.1
2306,Crysis 3,6,2013,7,Electronic Arts,0.26,0.43,0.03,0.18
2307,3Xtreme,13,1999,9,989 Studios,0.5,0.34,0,0.06
2308,Hot Shots Tennis,7,2006,1,Sony Computer Entertainment,0.17,0.13,0.55,0.05
2309,Sonic Heroes,14,2003,2,Sega,0.41,0.43,0.01,0.05
2310,Resistance: Retribution,17,2009,7,Sony Computer Entertainment,0.27,0.36,0.05,0.22
2311,Tiger Woods PGA Tour 12: The Masters,6,2011,1,Electronic Arts,0.52,0.26,0,0.12
2312,Star Wars: The Force Unleashed,4,2008,9,LucasArts,0.51,0.29,0,0.09
2313,Madden NFL 99,12,1998,1,Electronic Arts,0.84,0.05,0,0.01
2314,Spider-Man 3,7,2007,2,Activision,0.74,0.03,0.01,0.12
2315,James Bond 007: Agent Under Fire,14,2002,7,Electronic Arts,0.65,0.22,0,0.03
2316,Samba De Amigo,1,2008,6,Sega,0.42,0.37,0.01,0.1
2317,The Elder Scrolls Online,15,2014,4,Bethesda Softworks,0.32,0.48,0,0.09
2318,Pure,6,2008,3,Disney Interactive Studios,0.42,0.33,0,0.14
2319,FIFA Soccer 09 All-Play,1,2008,1,Electronic Arts,0.29,0.52,0,0.09
2320,Fossil Fighters,4,2008,4,Nintendo,0.84,0,0,0.06
2321,LittleBigPlanet Karting,6,2012,9,Sony Computer Entertainment,0.42,0.32,0.01,0.15
2322,X-Men Legends,14,2004,4,Activision,0.62,0.24,0,0.04
2323,NBA Live 2005,14,2004,1,Electronic Arts,0.81,0.05,0,0.04
2324,Harry Potter: Quidditch World Cup,7,2003,1,Electronic Arts,0.44,0.34,0,0.11
2325,The Biggest Loser: Ultimate Workout,5,2010,1,THQ,0.73,0.1,0,0.06
2326,Madagascar,9,2005,2,Activision,0.62,0.24,0,0.03
2327,Call of Juarez: Bound in Blood,6,2009,7,Ubisoft,0.35,0.38,0.01,0.16
2328,Killzone: Liberation,17,2006,7,Sony Computer Entertainment,0.44,0.28,0,0.18
2329,Madden NFL 08,1,2007,1,Electronic Arts,0.82,0.01,0,0.07
2330,Blitz: The League,7,2005,1,Unknown,0.74,0.03,0,0.12
2331,LEGO Jurassic World,11,2015,9,Warner Bros. Interactive Entertainment,0.32,0.42,0.01,0.14
2332,Castlevania: Circle of the Moon,9,2001,2,Konami Digital Entertainment,0.6,0.22,0.05,0.02
2333,Sonic Chronicles: The Dark Brotherhood,4,2008,4,Sega,0.51,0.29,0.01,0.09
2334,Tiger Woods PGA Tour 06,7,2005,1,Electronic Arts,0.74,0.03,0,0.12
2335,Classic NES Series: The Legend of Zelda,9,2004,11,Nintendo,0.46,0.17,0.24,0.02
2336,The Jak and Daxter Collection,6,2012,2,Sony Computer Entertainment,0.6,0.19,0,0.1
2337,Fire Emblem: The Sacred Stones,9,2004,12,Nintendo,0.42,0.16,0.3,0.02
2338,Pokemon Card GB2: Here Comes Team GR!,3,2001,12,Nintendo,0,0,0.89,0
2339,Finding Nemo,19,2003,9,THQ,0.69,0.18,0,0.02
2340,CSI: Hard Evidence,1,2008,11,Ubisoft,0.36,0.43,0,0.1
2341,Ace Combat 2,13,1997,8,Sony Computer Entertainment,0.16,0.11,0.56,0.06
2342,F1 2009,1,2009,3,Codemasters,0.15,0.63,0,0.11
2343,NFL 2K2,7,2001,1,Sega,0.44,0.34,0,0.11
2345,Dissidia 012: Duodecim Final Fantasy,17,2011,10,Square Enix,0.21,0.13,0.46,0.08
2346,LEGO Marvel Super Heroes,10,2013,9,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07
2347,F1 2010,5,2010,3,Codemasters,0.18,0.59,0.01,0.1
2348,Monster 4X4: World Circuit,1,2006,3,Ubisoft,0.81,0,0.01,0.07
2349,Call of Duty: Modern Warfare 2,15,2009,7,Activision,0.01,0.79,0,0.09
2350,Wii Fit U,20,2013,1,Nintendo,0.39,0.24,0.21,0.06
2351,Kingdoms of Amalur: Reckoning,5,2012,4,Electronic Arts,0.55,0.25,0.01,0.07
2352,Call of Duty: Modern Warfare 3,1,2011,7,Activision,0.6,0.21,0,0.08
2353,MLB 2001,13,2000,1,Sony Computer Entertainment,0.49,0.34,0,0.06
2354,SingStar Anthems,7,2006,6,Sony Computer Entertainment,0,0.68,0,0.2
2355,Seiken Densetsu 3,8,1995,4,SquareSoft,0,0,0.89,0
2356,Mega Man 8 Anniversary Collector's Edition,13,1996,2,Capcom,0.44,0.3,0.09,0.06
2357,WWE SmackDown vs. Raw 2011,5,2010,10,THQ,0.44,0.36,0,0.08
2358,Sleeping Dogs,5,2012,9,Square Enix,0.38,0.41,0.01,0.08
2359,Grand Theft Auto IV,15,2008,9,Take-Two Interactive,0.01,0.79,0,0.08
2360,Peppa Pig: The Game,4,2008,6,Pinnacle,0,0.82,0,0.06
2361,Michael Jackson: The Experience,5,2011,6,Ubisoft,0.62,0.2,0,0.07
2362,Ghostbusters: The Video Game,1,2009,9,Atari,0.6,0.21,0,0.08
2363,Rock Band 3,5,2010,6,MTV Games,0.73,0.1,0,0.06
2364,Resident Evil: Revelations,10,2012,9,Capcom,0.3,0.22,0.3,0.05
2365,NBA 2K6,7,2005,9,Take-Two Interactive,0.43,0.34,0,0.11
2366,Buzz! The Mega Quiz,7,2007,6,Sony Computer Entertainment,0.32,0.06,0,0.5
2367,Endless Ocean: Blue World,1,2009,8,Nintendo,0.47,0.22,0.12,0.07
2368,Star Wars: Rebel Assault II - The Hidden Empire,13,1996,7,CTO SpA,0.49,0.33,0,0.06
2369,Just Cause 3,18,2015,9,Square Enix,0.42,0.38,0,0.07
2370,Metal Gear Ac!d,17,2004,12,Konami Digital Entertainment,0.32,0.26,0.12,0.17
2371,Cooking Mama: World Kitchen,1,2008,8,505 Games,0.51,0.28,0.01,0.08
2372,Tekken Tag Tournament 2,6,2012,10,Namco Bandai Games,0.28,0.33,0.13,0.14
2373,ESPN NHL 2K5,7,2004,1,Global Star,0.43,0.33,0,0.11
2374,GRID,5,2008,3,Codemasters,0.33,0.44,0.01,0.09
2375,Phantasy Star Portable 2,17,2009,4,Sega,0.08,0.11,0.62,0.06
2376,Crimson Skies: High Road to Revenge,14,2003,8,Microsoft Game Studios,0.65,0.19,0,0.03
2377,Spec Ops: Ranger Elite,13,2001,7,TalonSoft,0.49,0.33,0,0.06
2378,Gex,13,1995,2,Crystal Dynamics,0.49,0.33,0,0.06
2379,NBA 2K14,18,2013,1,Take-Two Interactive,0.7,0.11,0,0.06
2380,DiRT,5,2007,3,Codemasters,0.38,0.4,0,0.09
2381,Derby Stallion II,8,1994,1,ASCII Entertainment,0,0,0.87,0
2382,Gold's Gym: Dance Workout,1,2010,1,Ubisoft,0.71,0.11,0,0.06
2383,Red Faction: Guerrilla,5,2009,7,THQ,0.48,0.29,0.01,0.09
2384,Tom Clancy's Ghost Recon: Island Thunder,14,2003,7,Ubisoft,0.61,0.24,0,0.03
2385,Mercenaries 2: World in Flames,6,2008,7,Electronic Arts,0.29,0.4,0.02,0.16
2386,Need for Speed: V-Rally,13,1997,3,Infogrames,0.43,0.29,0.09,0.06
2387,Kingdom Hearts Re: Chain of Memories,7,2008,4,Square Enix,0.73,0.03,0,0.12
2388,Pictionary,1,2010,5,THQ,0.61,0.19,0,0.07
2389,NCAA Football 13,6,2012,9,Electronic Arts,0.82,0,0,0.06
2390,Kingdoms of Amalur: Reckoning,6,2012,4,Electronic Arts,0.37,0.3,0.09,0.11
2391,NFL GameDay '97,13,1996,1,Sony Computer Entertainment,0.48,0.33,0,0.06
2392,Beijing 2008,6,2008,1,Sega,0.14,0.54,0.01,0.18
2393,The House of the Dead: Overkill,1,2009,7,Sega,0.46,0.31,0.02,0.09
2394,Tony Hawk's Project 8,7,2006,1,Activision,0.72,0.03,0,0.12
2395,Injustice: Gods Among Us,11,2013,10,Warner Bros. Interactive Entertainment,0.46,0.29,0,0.12
2396,NHL 2000,13,1998,1,Electronic Arts,0.48,0.33,0,0.06
2397,Buzz! Master Quiz,17,2008,6,Sony Computer Entertainment,0.2,0.44,0,0.23
2398,Brothers in Arms: Hell's Highway,5,2008,7,Ubisoft,0.47,0.31,0,0.09
2399,Fight Night Round 2,7,2005,10,Electronic Arts,0.72,0.03,0,0.12
2400,Wizards of Waverly Place,4,2009,6,Disney Interactive Studios,0.59,0.2,0,0.08
2401,Scooby-Doo! First Frights,4,2009,9,Warner Bros. Interactive Entertainment,0.63,0.17,0,0.07
2402,Conflict: Desert Storm,14,2002,7,SCi,0.48,0.37,0,0.02
2403,Triple Play 2002,7,2002,1,Electronic Arts,0.43,0.33,0,0.11
2404,Vagrant Story,13,2000,4,Crave Entertainment,0.3,0.2,0.3,0.06
2405,Lemmings,17,2006,5,Sony Computer Entertainment,0.12,0.52,0,0.23
2406,Warriors Orochi,7,2007,9,Tecmo Koei,0.11,0.09,0.64,0.03
2407,Guitar Hero: Warriors of Rock,5,2010,6,Activision,0.47,0.32,0,0.08
2408,Enduro,16,1982,6,Quelle,0.81,0.05,0,0.01
2409,Tales of Xillia 2,6,2012,4,Namco Bandai Games,0.2,0.15,0.45,0.07
2410,SingStar '90s,7,2007,6,Sony Computer Entertainment,0.1,0.59,0,0.18
2411,Monster Strike 3DS,10,2015,9,"mixi, Inc",0,0,0.86,0
2412,Tomb Raider: Anniversary,1,2007,9,Eidos Interactive,0.12,0.63,0,0.11
2413,Winning Eleven: Pro Evolution Soccer 2007,17,2006,1,Konami Digital Entertainment,0.01,0.72,0.12,0.01
2414,Darksiders II,6,2012,9,THQ,0.35,0.37,0.01,0.14
2415,Ghostbusters: The Video Game,6,2009,9,Sony Computer Entertainment,0.34,0.37,0,0.15
2416,The World Ends With You,4,2007,4,Square Enix,0.54,0.06,0.21,0.05
2418,Rocky,7,2002,10,Rage Software,0.42,0.33,0,0.11
2419,Dragon Quest VIII: Journey of the Cursed King,10,2015,4,Square Enix,0,0,0.86,0
2420,Ford Racing,13,2001,3,Empire Interactive,0.48,0.33,0,0.06
2421,Madden Football 64,12,1997,1,Electronic Arts,0.81,0.04,0,0.01
2422,MLB 99,13,1998,1,Sony Computer Entertainment,0.48,0.32,0,0.06
2423,Dragon Ball Z: Burst Limit,6,2008,10,Atari,0.22,0.34,0.18,0.12
2425,The Legendary Starfy,4,2008,2,Nintendo,0.61,0,0.2,0.05
2426,2010 FIFA World Cup South Africa,5,2010,1,Electronic Arts,0.32,0.43,0.02,0.09
2427,Dynasty Warriors 4: Xtreme Legends,7,2003,9,Tecmo Koei,0.17,0.13,0.51,0.04
2428,Ninja Gaiden Sigma 2,6,2009,9,Ubisoft Annecy,0.52,0.16,0.08,0.1
2429,Forza Horizon 2,5,2014,3,Microsoft Game Studios,0.35,0.43,0,0.07
2430,Skate 2,6,2009,1,Electronic Arts,0.46,0.26,0.01,0.12
2431,FIFA Soccer 08,4,2007,1,Electronic Arts,0.1,0.65,0,0.11
2432,Army Men: Air Attack,13,1999,9,29,0.47,0.32,0,0.06
2433,Need for Speed: Nitro,1,2009,3,Electronic Arts,0.46,0.31,0,0.08
2434,Madden NFL 09 All-Play,1,2008,1,Electronic Arts,0.78,0.01,0,0.07
2435,NBA 2K8,5,2007,1,Take-Two Interactive,0.79,0,0,0.07
2437,Street Fighter Alpha 2,13,1996,10,Virgin Interactive,0.14,0.09,0.57,0.06
2438,Tiger Woods PGA Tour 2005,14,2004,1,Electronic Arts,0.64,0.18,0,0.03
2439,Army of Two: The 40th Day,6,2010,7,Electronic Arts,0.44,0.27,0.01,0.12
2440,Blazing Angels: Squadrons of WWII,1,2007,8,Ubisoft,0.74,0.04,0,0.06
2441,Castlevania III: Dracula's Curse,2,1989,2,Konami Digital Entertainment,0.4,0.07,0.37,0.01
2442,Harry Potter and the Order of the Phoenix,,2007,9,Electronic Arts,0.28,0.47,0,0.1
2443,Rampage World Tour,13,1997,9,GT Interactive,0.47,0.32,0,0.06
2444,Burnout Legends,17,2005,3,Electronic Arts,0.7,0.06,0,0.09
2445,WWE 2K15,6,2014,1,Take-Two Interactive,0.36,0.35,0,0.14
2447,Ratatouille,7,2007,9,THQ,0.31,0,0,0.53
2448,NFL GameDay,13,1995,1,Sony Computer Entertainment,0.47,0.32,0,0.06
2449,Burnout 2: Point of Impact,7,2002,3,Acclaim Entertainment,0.42,0.32,0,0.11
2451,Street Fighter EX3,7,2000,10,Virgin Interactive,0.32,0.25,0.2,0.08
2452,Karaoke Revolution Glee,1,2010,6,Konami Digital Entertainment,0.52,0.25,0,0.07
2453,Sniper Elite V2,5,2012,7,505 Games,0.46,0.29,0.02,0.07
2454,Thief (2014),11,2014,9,Square Enix,0.28,0.37,0.03,0.16
2455,Spider-Man 2,19,2004,9,Activision,0.65,0.17,0,0.02
2456,Golden Sun: Dark Dawn,4,2010,4,Nintendo,0.56,0.11,0.13,0.05
2457,Tiger Woods PGA Tour 11,6,2010,1,Electronic Arts,0.37,0.34,0,0.13
2458,Devil May Cry HD Collection,6,2012,9,Capcom,0.42,0.21,0.11,0.1
2460,NBA 2K10,6,2009,1,Take-Two Interactive,0.75,0.01,0.01,0.07
2461,Xenoblade Chronicles X,20,2015,4,Nintendo,0.36,0.28,0.14,0.06
2462,Petz Dogz Fashion,4,2008,8,Ubisoft,0.46,0.3,0,0.09
2463,The Incredibles,19,2004,9,THQ,0.65,0.17,0,0.02
2464,NCAA Football 11,6,2010,1,Electronic Arts,0.79,0,0,0.06
2465,Dragon Age II,6,2011,9,Electronic Arts,0.4,0.27,0.05,0.12
2466,ATV Quad Power Racing 2,7,2003,3,Acclaim Entertainment,0.41,0.32,0,0.11
2467,Harvest Moon: Tree of Tranquility,1,2007,8,Rising Star Games,0.69,0.03,0.06,0.06
2468,Final Fantasy,2,1987,4,SquareSoft,0.32,0,0.52,0
2469,Street Fighter X Tekken,6,2012,10,Capcom,0.42,0.22,0.1,0.1
2470,Rocket Power: Team Rocket Rescue,13,2001,1,THQ,0.47,0.32,0,0.05
2471,Duke Nukem Forever,5,2011,7,Take-Two Interactive,0.52,0.25,0,0.07
2472,Big Mutha Truckers,7,2002,3,Empire Interactive,0.41,0.32,0,0.11
2473,Borderlands: The Handsome Collection,11,2015,7,Take-Two Interactive,0.36,0.32,0.03,0.14
2474,Rogue Galaxy,7,2005,4,Sony Computer Entertainment,0.24,0.16,0.39,0.05
2475,ESPN College Hoops 2K5,7,2004,1,Sega,0.41,0.32,0,0.11
2476,Metroid: Zero Mission,9,2004,11,Nintendo,0.6,0.22,0,0.01
2477,FIFA 15,23,2014,1,Electronic Arts,0.13,0.48,0.04,0.19
2478,Time Crisis 4,6,2007,7,Namco Bandai Games,0.32,0.33,0.05,0.14
2479,Ben 10: Protector of Earth,7,2007,9,D3Publisher,0.09,0,0,0.74
2480,Need for Speed Rivals,5,2013,3,Electronic Arts,0.37,0.38,0.01,0.08
2481,Q*bert,13,1999,5,Atari,0.46,0.32,0,0.05
2482,WWE SmackDown vs. Raw 2009,1,2008,10,THQ,0.44,0.31,0,0.08
2483,Ace Combat 3: Electrosphere,13,1999,8,Sony Computer Entertainment,0.22,0.15,0.4,0.05
2484,Dynasty Warriors 2,7,2000,9,THQ,0.24,0.19,0.34,0.06
2485,Battle of Giants: Dinosaurs,4,2008,12,Ubisoft,0.38,0.37,0,0.09
2487,Lizzie McGuire 2: Lizzie Diaries,9,2004,9,Disney Interactive Studios,0.6,0.22,0,0.01
2488,Borderlands 2,23,2014,7,Take-Two Interactive,0.43,0.21,0.01,0.19
2489,FIFA Soccer World Championship,7,2000,1,Electronic Arts,0.27,0.21,0.28,0.07
2490,Brute Force,14,2003,7,Microsoft Game Studios,0.62,0.18,0.01,0.03
2491,Dance Central 3,5,2012,6,Microsoft Game Studios,0.57,0.2,0,0.06
2492,Yu-Gi-Oh! Dark Duel Stories,3,2000,6,Konami Digital Entertainment,0,0,0.83,0
2493,The Game of Life,13,1998,6,Unknown,0.46,0.31,0,0.05
2494,Mega Man Legends,13,1997,11,Capcom,0.39,0.26,0.12,0.05
2495,NCAA Football 12,6,2011,1,Electronic Arts,0.78,0,0,0.05
2496,Sly 3: Honor Among Thieves,7,2005,2,Sony Computer Entertainment,0.69,0.03,0,0.11
2497,The Price is Right,1,2008,6,Ubisoft,0.77,0,0,0.06
2498,Sid Meier's Civilization Revolution,5,2008,12,Take-Two Interactive,0.58,0.17,0,0.07
2500,I Spy: Fun House,4,2007,5,Scholastic Inc.,0.77,0,0,0.06
2501,The Amazing Spider-Man (Console Version),6,2012,9,Activision,0.31,0.37,0,0.14
2502,Dragon Ball: Raging Blast 2,6,2010,10,Namco Bandai Games,0.42,0.2,0.11,0.09
2503,MediEvil,13,1998,2,Sony Computer Entertainment,0.46,0.31,0,0.05
2504,Casper,13,1996,11,Interplay,0.46,0.31,0,0.05
2505,Deca Sports 2,1,2009,1,Hudson Soft,0.33,0.34,0.09,0.07
2506,James Bond 007: Nightfire,14,2002,7,Electronic Arts,0.58,0.22,0,0.03
2508,Tony Hawk's Underground 2 Remix,17,2005,1,Activision,0.46,0.21,0,0.15
2509,Tony Hawk's Pro Skater 3,19,2001,1,Activision,0.64,0.17,0,0.02
2510,Marvel: Ultimate Alliance,7,2006,4,Activision,0.69,0.03,0,0.11
2511,Star Wars The Clone Wars: Republic Heroes,1,2009,9,LucasArts,0.44,0.3,0,0.08
2512,DJ Hero 2,5,2010,6,Activision,0.64,0.12,0,0.06
2514,Need for Speed: Hot Pursuit 2,14,2002,3,Electronic Arts,0.68,0.11,0,0.03
2515,Clu Clu Land,2,1984,5,Nintendo,0.42,0.1,0.28,0.02
2516,Killer Instinct Gold,12,1996,10,Nintendo,0.61,0.19,0,0.01
2517,Amped: Freestyle Snowboarding,14,2001,1,Microsoft Game Studios,0.69,0.11,0,0.02
2518,Custer's Revenge,16,1981,9,Mystique,0.76,0.05,0,0.01
2519,MediEvil: Resurrection,17,2005,11,Sony Computer Entertainment,0.19,0.41,0,0.22
2520,DmC: Devil May Cry,6,2013,9,Capcom,0.24,0.28,0.19,0.12
2521,Tales of the Abyss,10,2011,4,Namco Bandai Games,0.42,0.19,0.14,0.06
2522,Rocket Power: Beach Bandits,7,2002,2,THQ,0.4,0.31,0,0.1
2523,Guitar Hero: Warriors of Rock,6,2010,6,Activision,0.33,0.35,0,0.14
2524,Hasbro Family Game Night 3,1,2010,6,Electronic Arts,0.47,0.28,0,0.07
2525,Madden NFL 16,6,2015,1,Electronic Arts,0.56,0.11,0,0.15
2526,Stranglehold,5,2007,7,Midway Games,0.4,0.33,0.01,0.09
2527,Imagine: Rock Star,4,2008,8,Ubisoft,0.4,0.33,0,0.09
2528,Shin Megami Tensei: Persona 4,7,2008,4,Atlus,0.34,0.04,0.36,0.08
2529,SingStar Vol. 2,6,2008,6,Sony Computer Entertainment,0.29,0.4,0,0.13
2531,Madden NFL 25,11,2013,1,Electronic Arts,0.62,0.13,0,0.07
2532,Twisted Metal (2012),6,2012,9,Sony Computer Entertainment,0.67,0.07,0,0.07
2533,Dragon Warrior III,3,2000,4,Enix Corporation,0,0,0.81,0
2534,Disney's The Little Mermaid: Ariel's Undersea Adventure,4,2006,9,Disney Interactive Studios,0.73,0.03,0,0.06
2535,Ready 2 Rumble Boxing: Round 2,7,2000,10,Midway Games,0.4,0.31,0,0.1
2536,Kamaitachi no Yoru,8,1994,11,ChunSoft,0,0,0.81,0
2537,Patapon,17,2007,6,Sony Computer Entertainment,0.33,0.25,0.07,0.17
2538,Tales of Destiny II,13,2000,4,Namco Bandai Games,0.06,0.04,0.66,0.05
2539,Super Bomberman 2,8,1994,5,Hudson Soft,0,0,0.81,0
2540,NASCAR 2001,13,2000,3,Electronic Arts,0.45,0.31,0,0.05
2541,EA Sports Active NFL Training Camp,1,2010,1,Electronic Arts,0.77,0,0,0.05
2542,The Legend of Zelda: Four Swords Adventures,19,2004,9,Nintendo,0.63,0.16,0,0.02
2543,Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,13,1999,1,Konami Digital Entertainment,0,0,0.76,0.05
2544,Guitar Hero Live,11,2015,6,Activision,0.32,0.35,0,0.13
2545,Valkyrie Profile,13,1999,4,Enix Corporation,0.07,0.05,0.63,0.05
2546,Final Fantasy Type-0,17,2011,4,Unknown,0,0,0.81,0
2547,Pro Evolution Soccer 2010,5,2009,1,Konami Digital Entertainment,0.12,0.58,0.03,0.08
2548,Army Men: Sarge's Heroes,12,1999,9,29,0.68,0.12,0,0.01
2549,Mega Man,2,1987,2,Capcom,0.45,0.08,0.27,0.01
2550,Tom Clancy's Rainbow Six 3,7,2004,7,Ubisoft,0.4,0.31,0,0.1
2551,Lego Batman 3: Beyond Gotham,6,2014,9,Warner Bros. Interactive Entertainment,0.33,0.35,0,0.13
2552,EarthBound,8,1994,4,Nintendo,0,0,0.81,0
2553,DiRT 2,5,2009,3,Codemasters,0.32,0.4,0,0.09
2554,Professor Layton vs Phoenix Wright: Ace Attorney,10,2012,5,Level 5,0.2,0.26,0.3,0.04
2555,The Next Tetris,13,1998,5,Atari,0.45,0.31,0,0.05
2556,Dying Light,18,2015,9,Warner Bros. Interactive Entertainment,0.43,0.3,0.01,0.07
2557,NCAA Football 10,6,2009,1,Electronic Arts,0.75,0,0,0.06
2558,Ben 10: Alien Force,1,2008,9,Koch Media,0.52,0.21,0,0.07
2559,World Soccer Jikkyou Winning Eleven 3: World Cup France '98,13,1998,1,Konami Digital Entertainment,0,0,0.75,0.05
2560,Final Fantasy XI: Wings of the Goddess,7,2007,4,Square Enix,0.35,0.27,0.09,0.09
2561,The Sims 2,7,2005,8,Electronic Arts,0.67,0.03,0,0.11
2562,Guitar Hero: Metallica,5,2009,6,Activision,0.52,0.21,0,0.07
2563,NCAA Football 14,6,2013,1,Electronic Arts,0.75,0,0,0.06
2564,MadWorld,1,2009,9,Sega,0.46,0.25,0.02,0.07
2565,Fight Night Champion,5,2011,10,Electronic Arts,0.4,0.33,0,0.07
2566,Who wants to be a millionaire,13,2000,6,Eidos Interactive,0.45,0.3,0,0.05
2567,Yakuza,7,2005,9,Sega,0.03,0.02,0.74,0.01
2568,Star Wars Rogue Squadron III: Rebel Strike,19,2003,8,LucasArts,0.62,0.16,0,0.02
2569,ABBA: You Can Dance,1,2011,6,Ubisoft,0.19,0.5,0,0.11
2570,Moto Racer,13,1997,3,Electronic Arts,0.45,0.3,0,0.05
2571,Hitman: Contracts,7,2004,7,Eidos Interactive,0.39,0.31,0,0.1
2572,The Sims 2: Pets,17,2006,8,Electronic Arts,0.19,0.39,0,0.22
2573,Final Fantasy Anthology,13,1999,4,Square EA,0.45,0.3,0,0.05
2574,Aliens: Colonial Marines,5,2013,7,Sega,0.36,0.37,0,0.07
2575,Pro Evolution Soccer 2010,17,2009,1,Konami Digital Entertainment,0.09,0.33,0.2,0.18
2576,[Prototype 2],5,2012,9,Activision,0.48,0.25,0,0.07
2577,Sonic & SEGA All-Stars Racing with Banjo-Kazooie,5,2010,3,Sega,0.37,0.35,0,0.07
2578,Goldeneye 007: Reloaded,6,2011,7,Activision,0.33,0.35,0,0.13
2579,NBA 2K16,6,2015,1,Take-Two Interactive,0.44,0.19,0.03,0.13
2580,All Star Cheer Squad,1,2008,1,THQ,0.43,0.29,0,0.08
2581,The Sims 2: Castaway,17,2007,8,Electronic Arts,0.08,0.46,0,0.25
2582,Prince of Persia: Warrior Within,14,2004,9,Ubisoft,0.48,0.28,0,0.04
2583,Dragon's Dogma,5,2012,4,Capcom,0.42,0.24,0.07,0.06
2584,Darksiders II,5,2012,9,THQ,0.45,0.28,0,0.07
2585,Resident Evil: Revelations,6,2013,9,Capcom,0.14,0.32,0.22,0.12
2586,Rayman Raving Rabbids 2,4,2007,6,Ubisoft,0.73,0.01,0,0.06
2587,Super Robot Taisen α,13,2000,12,Banpresto,0,0,0.75,0.05
2589,Need for Speed: Hot Pursuit 2,19,2002,3,Electronic Arts,0.68,0.09,0,0.02
2590,Star Wars: The Force Unleashed II,1,2010,9,LucasArts,0.54,0.19,0,0.06
2591,Band Hero,5,2009,6,Activision,0.51,0.22,0,0.07
2592,Mario & Sonic at the Sochi 2014 Olympic Winter Games,20,2013,1,Nintendo,0.39,0.22,0.13,0.06
2593,Tales of Destiny 2,7,2002,4,Namco Bandai Games,0,0,0.8,0
2594,Capcom's Soccer Shootout,8,1993,1,Nintendo,0,0,0.8,0
2595,Sniper: Ghost Warrior,6,2011,7,City Interactive,0.26,0.36,0.04,0.14
2596,The Godfather II,5,2009,9,Electronic Arts,0.47,0.24,0.01,0.08
2597,pro evolution soccer 2011,17,2010,1,Konami Digital Entertainment,0.05,0.3,0.29,0.16
2598,Alien,16,1981,9,20th Century Fox Video Games,0.74,0.04,0,0.01
2599,Dragon Ball Z: Budokai Tenkaichi 2,7,2006,10,Atari,0.66,0.02,0,0.11
2600,The Walking Dead: Season One,6,2012,11,Avanquest Software,0.4,0.25,0.03,0.11
2601,Rayman Origins,5,2011,2,Ubisoft,0.38,0.34,0,0.08
2602,Guitar Hero: Aerosmith,7,2008,6,Activision,0.61,0,0,0.18
2603,Ridge Racer,13,1994,3,Sony Computer Entertainment,0,0,0.74,0.05
2604,Final Fantasy Tactics A2: Grimoire of the Rift,4,2007,4,Square Enix,0.42,0.03,0.3,0.04
2605,Harvest Moon: A Wonderful Life,19,2003,4,Ubisoft,0.61,0.16,0,0.02
2606,Momotarou Dentetsu 7,13,1997,8,Hudson Entertainment,0,0,0.74,0.05
2607,Invizimals,17,2009,12,Sony Computer Entertainment,0.17,0.51,0,0.11
2608,Motocross Mania,13,2001,3,Take-Two Interactive,0.44,0.3,0,0.05
2609,Tiger Woods PGA Tour 10,6,2009,1,Electronic Arts,0.42,0.25,0,0.12
2610,Star Wars The Clone Wars: Jedi Alliance,4,2008,9,LucasArts,0.62,0.11,0,0.07
2611,WCW Mayhem,12,1999,10,Electronic Arts,0.63,0.15,0,0.01
2612,Mega Man 5,2,1992,2,Capcom,0.39,0.07,0.32,0.01
2613,Star Ocean: The Last Hope,5,2009,4,Square Enix,0.32,0.2,0.21,0.06
2614,Dance Dance Revolution SuperNOVA 2,7,2007,8,Konami Digital Entertainment,0.64,0.03,0.02,0.1
2615,Armored Core 2,7,2000,8,Ubisoft,0.28,0.22,0.23,0.07
2616,Dragon Quest Monsters 2,10,2014,4,Square Enix,0,0,0.79,0
2617,Ghost Squad,1,2007,7,Sega,0.42,0.21,0.08,0.07
2618,Dead Island: Riptide,5,2013,9,Deep Silver,0.44,0.27,0.01,0.07
2619,Drawn to Life,4,2007,9,THQ,0.71,0.02,0,0.06
2620,Major League Baseball Featuring Ken Griffey Jr,12,1998,1,Nintendo,0.75,0.03,0,0.01
2621,FIFA 12,1,2011,1,Electronic Arts,0.16,0.52,0,0.11
